Country,total_vaccinations,confirmed_cases,death_cases,iso_code,Continent,Population
Spain,95548924,13245996,110713,ESP,Europe,47558630
Sri Lanka,39724661,666086,16574,LKA,Asia,21832143
Sudan,,63074,4958,SDN,Africa,46874204
Suriname,,80982,1380,SUR,South America,618040
Sweden,22798681,2539715,19358,SWE,Europe,10549347
Switzerland,15902328,3972622,13917,CHE,Europe,8740472
Syria,4494350,56419,3150,SYR,Asia,22125249
Taiwan,59766737,4652186,9026,TWN,Asia,23893394
Tajikistan,15441380,17786,125,TJK,Asia,9952787
Tanzania,19927742,37865,841,TZA,Africa,65497748
Thailand,140946594,4598725,31492,THA,Asia,71697030
Timor,1757560,23024,133,TLS,Asia,1341296
Togo,3262548,38125,280,TGO,Africa,8848699
Tokelau,3326,,,TKL,Oceania,1871
Tonga,200335,12554,12,TON,Oceania,106858
Trinidad and Tobago,1577484,171906,4057,TTO,North America,1531044
Tunisia,14819727,1134660,29105,TUN,Africa,12356117
Turkey,150892690,15889495,99341,TUR,Asia,85341241
Turkmenistan,,6328,,TKM,Asia,6430770
Turks and Caicos Islands,72837,8,36,TCA,North America,45703
Tuvalu,23746,169340,,TUV,Oceania,11312
Uganda,24859885,5295103,3628,UGA,Africa,47249585
Ukraine,,994693,116466,UKR,Europe,39701739
United Arab Emirates,,23368903,2335,ARE,Asia,9441129
United Kingdom,150752976,91823205,204774,GBR,Europe,67508936
United States,606935814,131989526,1032537,USA,North America,338289857
Upper middle income,5249580773,971728,2466494,,,
Uruguay,8715515,243195,7415,URY,South America,3422794
Uzbekistan,63619811,11730,1637,UZB,Asia,34627652
Vanuatu,287803,29,14,VUT,Oceania,326740
Venezuela,,536586,5763,VEN,South America,28301696
Vietnam,247726474,10785122,43094,VNM,Asia,98186856
Wales,7420392,,,,,
Wallis and Futuna,,761,7,WLF,Oceania,11572
World,12367696580,580559912,6429654,,,
Yemen,880609,11877,2151,YEM,Asia,33696614
Zambia,8130436,330575,4015,ZMB,Africa,20017675
Zimbabwe,12040623,256423,5579,ZWE,Africa,16320537
